Trigger_Name,Events_passed,Actual_lumi,Effective_lumi,datasets,total_nEvents,events_eff(%)
HLT_PFMET140_PFMHT140_IDTight,522,27.2,27.2,"JetMET[0,1]",83934,0.6219172206733863
HLT_AK8PFJet250_SoftDropMass40_PNetTauTau0p05,522,21.0,21.0,"JetMET[0,1]",83934,0.6219172206733863
HLT_QuadPFJet105_88_76_15_PFBTagDeepJet_1p3_VBF2,512,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",83934,0.6100030976719804
HLT_AK8PFJet230_SoftDropMass40_PNetBB0p06,486,21.0,21.0,"JetMET[0,1]",83934,0.5790263778683251
HLT_VBF_DiPFJet105_40_Mjj1000_Detajj3p5_TriplePFJet,470,20.8,20.8,ParkingVBF[0-7],83934,0.5599637810660757
HLT_PFHT280_QuadPFJet30_PNet2BTagMean0p60,464,21.0,21.0,ParkingHH,83934,0.5528153072652322
HLT_VBF_DiPFJet125_45_Mjj720_Detajj3p0_TriplePFJet,460,1.7,1.7,ParkingVBF[0-7],83934,0.5480496580646699
HLT_LooseDeepTauPFTauHPS180_L2NN_eta2p1,450,27.2,27.2,Tau,83934,0.536135535063264
HLT_VBF_DiPFJet110_40_Mjj1000_Detajj3p5_TriplePFJet,426,9.5,9.5,ParkingVBF[0-7],83934,0.5075416398598899
HLT_AK8PFJet230_SoftDropMass40_PNetBB0p10,410,21.0,21.0,"JetMET[0,1]",83934,0.4884790430576405
HLT_QuadPFJet111_90_80_15_PFBTagDeepJet_1p3_VBF2,408,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",83934,0.48609621845735934
HLT_AK8PFJet250_SoftDropMass40_PNetBB0p06,408,21.0,21.0,"JetMET[0,1]",83934,0.48609621845735934
HLT_QuadPFJet103_88_75_15_DoublePFBTagDeepJet_1p3_7p7_VBF1,402,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",83934,0.47894774465651585
HLT_AK8PFJet275_SoftDropMass40_PNetTauTau0p03,398,21.0,21.0,"JetMET[0,1]",83934,0.47418209545595347
HLT_PFHT280_QuadPFJet35_PNet2BTagMean0p60,380,21.0,21.0,ParkingHH,83934,0.45273667405342294
HLT_AK8PFJet275_SoftDropMass40_PNetTauTau0p05,380,21.0,21.0,"JetMET[0,1]",83934,0.45273667405342294
HLT_VBF_DiPFJet90_40_Mjj600_Detajj2p5_Mu3_TrkIsoVVL,378,21.0,21.0,ParkingVBF[0-7],83934,0.4503538494531418
