Trigger_Name,Events_passed,Actual_lumi,Effective_lumi,datasets,total_nEvents,events_eff(%)
HLT_VBF_DiPFJet75_40_Mjj500_Detajj2p5_PFMET85,216,21.0,21.0,ParkingVBF[0-7],62717,0.3444042285185835
HLT_LooseDeepTauPFTauHPS180_L2NN_eta2p1,216,27.2,27.2,Tau,62717,0.3444042285185835
HLT_PFHT800_PFMET75_PFMHT75_IDTight,200,27.2,27.2,"JetMET[0,1]",62717,0.3188928041838736
HLT_AK8PFJet450_MassSD30,200,27.2,27.2,"JetMET[0,1]",62717,0.3188928041838736
HLT_VBF_DiPFJet80_45_Mjj500_Detajj2p5_PFMET85,197,9.5,9.5,ParkingVBF[0-7],62717,0.3141094121211155
HLT_PFHT280_QuadPFJet30_PNet2BTagMean0p55,192,21.0,21.0,ParkingHH,62717,0.3061370920165187
HLT_VBF_DiPFJet125_45_Mjj1000_Detajj3p5,181,9.5,9.5,ParkingVBF[0-7],62717,0.2885979877864056
HLT_AK8PFJet470_MassSD30,180,27.2,27.2,"JetMET[0,1]",62717,0.2870035237654862
HLT_DoublePFJets40_Mass500_MediumDeepTauPFTauHPS45_L2NN_MediumDeepTauPFTauHPS20_eta2p1,170,27.2,27.2,"ParkingVBF[0-7], Tau",62717,0.27105888355629254
HLT_AK8DiPFJet270_270_MassSD30,152,27.2,27.2,"JetMET[0,1]",62717,0.24235853117974393
HLT_AK8PFJet500,152,27.2,27.2,"JetMET[0,1]",62717,0.24235853117974393
HLT_AK8PFJet500_MassSD30,146,27.2,27.2,"JetMET[0,1]",62717,0.23279174705422773
HLT_AK8DiPFJet250_250_MassSD50,141,27.2,27.2,"JetMET[0,1]",62717,0.2248194269496309
HLT_AK8PFJet425_SoftDropMass40,133,27.2,27.2,"JetMET[0,1]",62717,0.21206371478227592
HLT_AK8DiPFJet280_280_MassSD30,133,27.2,27.2,"JetMET[0,1]",62717,0.21206371478227592
HLT_QuadPFJet100_88_70_30_PNet1CvsAll0p5_VBF3Tight,133,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",62717,0.21206371478227592
HLT_HT430_DelayedJet40_SingleDelay1To1p5nsInclusive,132,3.4,3.4,ParkingLLP,62717,0.21046925076135656
HLT_AK8DiPFJet260_260_MassSD50,132,27.2,27.2,"JetMET[0,1]",62717,0.21046925076135656
HLT_PFHT280_QuadPFJet30_PNet2BTagMean0p60,130,21.0,21.0,ParkingHH,62717,0.20728032271951782
HLT_CaloJet500_NoJetID,124,27.2,27.2,"JetMET[0,1]",62717,0.19771353859400162
HLT_AK8DiPFJet290_290_MassSD30,123,27.2,27.2,"JetMET[0,1]",62717,0.19611907457308225
HLT_PFJet500,120,27.2,27.2,"JetMET[0,1]",62717,0.19133568251032415
HLT_QuadPFJet105_88_75_30_PNet1CvsAll0p5_VBF3Tight,115,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",62717,0.18336336240572731
HLT_DoubleMediumDeepTauPFTauHPS30_L2NN_eta2p1_OneProng_M5to80,114,27.2,27.2,Tau,62717,0.18176889838480795
HLT_PFHT280_QuadPFJet35_PNet2BTagMean0p60,113,21.0,21.0,ParkingHH,62717,0.18017443436388858
HLT_HT430_DelayedJet40_SingleDelay1p1To1p6nsInclusive,113,3.4,3.4,ParkingLLP,62717,0.18017443436388858
HLT_HT650_DisplacedDijet60_Inclusive,113,27.2,27.2,"DisplacedJet, ParkingLLP",62717,0.18017443436388858
HLT_AK8PFJet450_SoftDropMass40,113,27.2,27.2,"JetMET[0,1]",62717,0.18017443436388858
HLT_VBF_DoubleMediumDeepTauPFTauHPS20_eta2p1,108,27.2,27.2,"ParkingVBF[0-7], Tau",62717,0.17220211425929174
HLT_AK8PFJet550,105,27.2,27.2,"JetMET[0,1]",62717,0.16741872219653364
HLT_PFHT1050,104,27.2,27.2,"JetMET[0,1]",62717,0.16582425817561428
HLT_PFHT400_FivePFJet_100_100_60_30_30_DoublePFBTagDeepJet_4p5,93,27.2,27.2,"JetMET[0,1], ParkingHH",62717,0.1482851539455012
HLT_QuadPFJet111_90_80_30_PNet1CvsAll0p6_VBF3Tight,88,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",62717,0.14031283384090437
HLT_CaloJet550_NoJetID,84,27.2,27.2,"JetMET[0,1]",62717,0.1339349777572269
HLT_PFJet550,80,27.2,27.2,"JetMET[0,1]",62717,0.12755712167354943
HLT_QuadPFJet103_88_75_15_DoublePFBTagDeepJet_1p3_7p7_VBF1,76,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",62717,0.12117926558987197
HLT_QuadPFJet105_88_76_15_DoublePFBTagDeepJet_1p3_7p7_VBF1,75,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",62717,0.1195848015689526
HLT_DoubleMediumChargedIsoDisplacedPFTauHPS32_Trk1_eta2p1,74,27.2,27.2,Tau,62717,0.11799033754803323
HLT_PFHT400_FivePFJet_120_120_60_30_30_DoublePFBTagDeepJet_4p5,73,27.2,27.2,"JetMET[0,1], ParkingHH",62717,0.11639587352711386
HLT_HT430_DelayedJet40_SingleDelay1p25To1p75nsInclusive,67,21.0,21.0,ParkingLLP,62717,0.10682908940159765
HLT_QuadPFJet111_90_80_15_DoublePFBTagDeepJet_1p3_7p7_VBF1,66,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",62717,0.10523462538067828
HLT_PFHT450_SixPFJet36_PNetBTag0p35,63,9.5,9.5,ParkingHH,62717,0.10045123331792018
HLT_PFHT450_SixPFJet36_PFBTagDeepJet_1p59,59,17.6,17.6,"JetMET[0,1], ParkingHH",62717,0.09407337723424271
HLT_VBF_DiPFJet125_45_Mjj720_Detajj3p0_TriplePFJet,57,1.7,1.7,ParkingVBF[0-7],62717,0.09088444919240397
HLT_PFMET250_NotCleaned,52,27.2,27.2,"JetMET[0,1]",62717,0.08291212908780714
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p50,50,21.0,21.0,"JetMET[0,1]",62717,0.0797232010459684
HLT_HT430_DelayedJet40_SingleDelay1nsTrackless,49,27.2,27.2,DisplacedJet,62717,0.07812873702504904
HLT_HT430_DisplacedDijet40_DisplacedTrack,47,27.2,27.2,"DisplacedJet, ParkingLLP",62717,0.07493980898321029
HLT_BTagMu_AK4Jet300_Mu5,45,27.2,27.2,BTagMu,62717,0.07175088094137155
HLT_Mu3er1p5_PFJet100er2p5_PFMET90_PFMHT90_IDTight,44,27.2,27.2,"Muon[0,1]",62717,0.07015641692045219
HLT_PFHT330PT30_QuadPFJet_75_60_45_40_TriplePFBTagDeepJet_4p5,42,27.2,27.2,"JetMET[0,1], ParkingHH",62717,0.06696748887861345
HLT_PFHT400_SixPFJet32_DoublePFBTagDeepJet_2p94,41,17.6,17.6,"JetMET[0,1], ParkingHH",62717,0.06537302485769408
HLT_PFHT340_QuadPFJet70_50_40_40_PNet2BTagMean0p70,39,27.2,27.2,"JetMET[0,1], ParkingHH",62717,0.06218409681585535
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p53,38,21.0,21.0,"JetMET[0,1]",62717,0.06058963279493598
HLT_HT350_DelayedJet40_SingleDelay1p75To3p5nsInclusive,38,9.5,9.5,ParkingLLP,62717,0.06058963279493598
HLT_Ele50_CaloIdVT_GsfTrkIdT_PFJet165,37,27.2,27.2,"EGamma[0,1]",62717,0.058995168774016615
HLT_HT430_DelayedJet40_DoubleDelay0p5nsTrackless,37,27.2,27.2,DisplacedJet,62717,0.058995168774016615
HLT_VBF_DiPFJet105_40_Mjj1000_Detajj3p5_TriplePFJet,36,20.8,20.8,ParkingVBF[0-7],62717,0.05740070475309725
HLT_VBF_DiPFJet110_40_Mjj1000_Detajj3p5_TriplePFJet,36,9.5,9.5,ParkingVBF[0-7],62717,0.05740070475309725
HLT_PFHT400_SixPFJet32_PNet2BTagMean0p50,36,9.5,9.5,ParkingHH,62717,0.05740070475309725
HLT_Mu3er1p5_PFJet100er2p5_PFMET100_PFMHT100_IDTight,34,27.2,27.2,"Muon[0,1]",62717,0.054211776711258514
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p55,33,21.0,21.0,"JetMET[0,1]",62717,0.05261731269033914
HLT_Mu3er1p5_PFJet100er2p5_PFMETNoMu100_PFMHTNoMu100_IDTight,32,27.2,27.2,"Muon[0,1]",62717,0.05102284866941977
HLT_VBF_DiPFJet90_40_Mjj600_Detajj2p5_Mu3_TrkIsoVVL,31,21.0,21.0,ParkingVBF[0-7],62717,0.049428384648500405
HLT_QuadPFJet103_88_75_15_PFBTagDeepJet_1p3_VBF2,29,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",62717,0.04623945660666167
HLT_QuadPFJet105_88_76_15_PFBTagDeepJet_1p3_VBF2,29,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",62717,0.04623945660666167
HLT_DoubleEle4_eta1p22_mMax6,27,2.8,2.8,ParkingDoubleElectronLowMass,62717,0.043050528564822936
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p60,27,21.0,21.0,"JetMET[0,1]",62717,0.043050528564822936
HLT_HT430_DelayedJet40_SingleDelay1p25nsTrackless,26,9.5,9.5,DisplacedJet,62717,0.04145606454390357
HLT_Ele115_CaloIdVT_GsfTrkIdT,26,27.2,27.2,"EGamma[0,1]",62717,0.04145606454390357
HLT_HT200_L1SingleLLPJet_DisplacedDijet40_Inclusive1PtrkShortSig5,26,27.2,27.2,DisplacedJet,62717,0.04145606454390357
HLT_PFMET300_NotCleaned,26,27.2,27.2,"JetMET[0,1]",62717,0.04145606454390357
HLT_VBF_DiPFJet125_45_Mjj1000_Detajj3p5_TriplePFJet,26,9.5,9.5,ParkingVBF[0-7],62717,0.04145606454390357
HLT_VBF_DiPFJet95_45_Mjj600_Detajj2p5_Mu3_TrkIsoVVL,25,9.5,9.5,ParkingVBF[0-7],62717,0.0398616005229842
HLT_DoubleEle4p5_eta1p22_mMax6,23,5.9,5.9,ParkingDoubleElectronLowMass,62717,0.03667267248114546
HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass90,21,27.2,27.2,"EGamma[0,1]",62717,0.033483744439306726
HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass95,21,27.2,27.2,"EGamma[0,1]",62717,0.033483744439306726
HLT_HT320_L1SingleLLPJet_DisplacedDijet60_Inclusive,21,27.2,27.2,DisplacedJet,62717,0.033483744439306726
HLT_QuadPFJet111_90_80_15_PFBTagDeepJet_1p3_VBF2,21,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",62717,0.033483744439306726
HLT_Ele30_WPTight_Gsf,21,27.2,27.2,"EGamma[0,1]",62717,0.033483744439306726
HLT_Ele135_CaloIdVT_GsfTrkIdT,20,27.2,27.2,"EGamma[0,1]",62717,0.03188928041838736
HLT_HT240_L1SingleLLPJet_DisplacedDijet40_Inclusive1PtrkShortSig5,20,27.2,27.2,DisplacedJet,62717,0.03188928041838736
HLT_DoubleEle4_eta1p22_mMax6_trkHits10,19,2.5,2.5,ParkingDoubleElectronLowMass,62717,0.03029481639746799
HLT_HT280_L1SingleLLPJet_DisplacedDijet40_Inclusive1PtrkShortSig5,19,27.2,27.2,DisplacedJet,62717,0.03029481639746799
HLT_Ele50_CaloIdVT_GsfTrkIdT_AK8PFJet220_SoftDropMass40,18,27.2,27.2,"EGamma[0,1]",62717,0.028700352376548624
HLT_Ele32_WPTight_Gsf,18,27.2,27.2,"EGamma[0,1]",62717,0.028700352376548624
HLT_Ele32_WPTight_Gsf_L1DoubleEG,18,27.2,27.2,"EGamma[0,1]",62717,0.028700352376548624
