Trigger_Name,Events_passed,Actual_lumi,Effective_lumi,datasets,total_nEvents,events_eff(%)
HLT_PFMETNoMu130_PFMHTNoMu130_IDTight,344,27.2,27.2,"JetMET[0,1]",63919,0.5381811354996167
HLT_PFMET130_PFMHT130_IDTight,343,27.2,27.2,"JetMET[0,1]",63919,0.5366166554545597
HLT_PFMETNoMu130_PFMHTNoMu130_IDTight_FilterHF,343,27.2,27.2,"JetMET[0,1]",63919,0.5366166554545597
HLT_AK8PFJet250_SoftDropMass40_PNetBB0p06,342,21.0,21.0,"JetMET[0,1]",63919,0.5350521754095027
HLT_HT390_DisplacedDijet40_Inclusive1PtrkShortSig5,341,2.6,2.6,ParkingLLP,63919,0.5334876953644456
HLT_AK8PFJet275_SoftDropMass40_PNetTauTau0p05,340,21.0,21.0,"JetMET[0,1]",63919,0.5319232153193886
HLT_HT360_DisplacedDijet45_Inclusive1PtrkShortSig5,339,2.6,2.6,ParkingLLP,63919,0.5303587352743315
HLT_AK8PFJet230_SoftDropMass40_PNetBB0p10,323,21.0,21.0,"JetMET[0,1]",63919,0.5053270545534192
HLT_VBF_DiPFJet45_Mjj500_Detajj2p5_MediumDeepTauPFTauHPS45_L2NN_eta2p1,323,21.0,21.0,ParkingVBF[0-7],63919,0.5053270545534192
HLT_PFMETTypeOne140_PFMHT140_IDTight,318,27.2,27.2,"JetMET[0,1]",63919,0.49750465432813407
HLT_PFHT500_PFMET110_PFMHT110_IDTight,315,27.2,27.2,"JetMET[0,1]",63919,0.492811214192963
HLT_DiJet110_35_Mjj650_PFMET110,315,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",63919,0.492811214192963
HLT_AK8PFJet275_SoftDropMass40_PNetBB0p06,301,21.0,21.0,"JetMET[0,1]",63919,0.47090849356216463
HLT_HT390eta2p0_DisplacedDijet40_Inclusive1PtrkShortSig5,295,21.0,21.0,ParkingLLP,63919,0.46152161329182245
HLT_AK8PFJet250_SoftDropMass40_PNetBB0p10,295,21.0,21.0,"JetMET[0,1]",63919,0.46152161329182245
HLT_PFMETNoMu140_PFMHTNoMu140_IDTight,289,27.2,27.2,"JetMET[0,1]",63919,0.45213473302148033
HLT_PFMET140_PFMHT140_IDTight,289,27.2,27.2,"JetMET[0,1]",63919,0.45213473302148033
HLT_PFMETNoMu140_PFMHTNoMu140_IDTight_FilterHF,288,27.2,27.2,"JetMET[0,1]",63919,0.4505702529764233
HLT_HT390_DisplacedDijet45_Inclusive1PtrkShortSig5,276,21.0,21.0,ParkingLLP,63919,0.431796492435739
HLT_VBF_DiPFJet105_40_Mjj1000_Detajj3p5,274,20.8,20.8,ParkingVBF[0-7],63919,0.42866753234562494
HLT_DiJet110_35_Mjj650_PFMET120,271,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",63919,0.42397409221045385
HLT_VBF_DiPFJet110_40_Mjj1000_Detajj3p5,262,9.5,9.5,ParkingVBF[0-7],63919,0.40989377180494063
HLT_AK8PFJet275_SoftDropMass40_PNetBB0p10,262,21.0,21.0,"JetMET[0,1]",63919,0.40989377180494063
HLT_HT430_DisplacedDijet40_Inclusive1PtrkShortSig5,259,27.2,27.2,"DisplacedJet, ParkingLLP",63919,0.40520033166976954
HLT_AK8PFJet420_MassSD30,256,27.2,27.2,"JetMET[0,1]",63919,0.40050689153459845
HLT_DiJet110_35_Mjj650_PFMET130,231,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",63919,0.36139489040817285
HLT_PFHT700_PFMET85_PFMHT85_IDTight,228,27.2,27.2,"JetMET[0,1]",63919,0.35670145027300176
HLT_AK8PFJet450_MassSD30,216,27.2,27.2,"JetMET[0,1]",63919,0.33792768973231746
HLT_VBF_DiPFJet125_45_Mjj1000_Detajj3p5,215,9.5,9.5,ParkingVBF[0-7],63919,0.3363632096872604
HLT_VBF_DiPFJet75_40_Mjj500_Detajj2p5_PFMET85,202,21.0,21.0,ParkingVBF[0-7],63919,0.3160249691015191
HLT_VBF_DiPFJet80_45_Mjj500_Detajj2p5_PFMET85,193,9.5,9.5,ParkingVBF[0-7],63919,0.3019446486960059
HLT_AK8PFJet470_MassSD30,190,27.2,27.2,"JetMET[0,1]",63919,0.2972512085608348
HLT_PFHT800_PFMET75_PFMHT75_IDTight,186,27.2,27.2,"JetMET[0,1]",63919,0.29099328838060673
HLT_AK8PFJet500,179,27.2,27.2,"JetMET[0,1]",63919,0.2800419280652075
HLT_AK8PFJet500_MassSD30,164,27.2,27.2,"JetMET[0,1]",63919,0.25657472738935216
HLT_Diphoton30_18_R9IdL_AND_HE_AND_IsoCaloId,158,27.2,27.2,"EGamma[0,1]",63919,0.24718784711900998
HLT_CaloJet500_NoJetID,158,27.2,27.2,"JetMET[0,1]",63919,0.24718784711900998
HLT_AK8DiPFJet270_270_MassSD30,157,27.2,27.2,"JetMET[0,1]",63919,0.24562336707395296
HLT_PFJet500,155,27.2,27.2,"JetMET[0,1]",63919,0.24249440698383892
HLT_AK8PFJet425_SoftDropMass40,152,27.2,27.2,"JetMET[0,1]",63919,0.23780096684866783
HLT_DoublePFJets40_Mass500_MediumDeepTauPFTauHPS45_L2NN_MediumDeepTauPFTauHPS20_eta2p1,147,27.2,27.2,"ParkingVBF[0-7], Tau",63919,0.22997856662338273
HLT_LooseDeepTauPFTauHPS180_L2NN_eta2p1,145,27.2,27.2,Tau,63919,0.22684960653326866
HLT_AK8DiPFJet280_280_MassSD30,142,27.2,27.2,"JetMET[0,1]",63919,0.2221561663980976
