Trigger_Name,Events_passed,Actual_lumi,Effective_lumi,datasets,total_nEvents,events_eff(%)
HLT_AK8PFJet230_SoftDropMass40_PNetBB0p06,377,21.0,21.0,"JetMET[0,1]",54677,0.6895038133035829
HLT_VBF_DiPFJet105_40_Mjj1000_Detajj3p5_TriplePFJet,372,20.8,20.8,ParkingVBF[0-7],54677,0.6803592003950473
HLT_VBF_DiPFJet110_40_Mjj1000_Detajj3p5_TriplePFJet,333,9.5,9.5,ParkingVBF[0-7],54677,0.6090312197084697
HLT_PFHT500_PFMET110_PFMHT110_IDTight,325,27.2,27.2,"JetMET[0,1]",54677,0.5943998390548129
HLT_AK8PFJet250_SoftDropMass40_PNetBB0p06,325,21.0,21.0,"JetMET[0,1]",54677,0.5943998390548129
HLT_AK8PFJet230_SoftDropMass40_PNetBB0p10,317,21.0,21.0,"JetMET[0,1]",54677,0.5797684584011559
HLT_VBF_DiPFJet125_45_Mjj720_Detajj3p0_TriplePFJet,306,1.7,1.7,ParkingVBF[0-7],54677,0.5596503100023776
HLT_AK8PFJet275_SoftDropMass40_PNetTauTau0p03,301,21.0,21.0,"JetMET[0,1]",54677,0.550505697093842
HLT_AK8PFJet275_SoftDropMass40_PNetTauTau0p05,297,21.0,21.0,"JetMET[0,1]",54677,0.5431900067670136
HLT_Diphoton30_18_R9IdL_AND_HE_AND_IsoCaloId,291,27.2,27.2,"EGamma[0,1]",54677,0.5322164712767709
HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass90,287,27.2,27.2,"EGamma[0,1]",54677,0.5249007809499424
HLT_QuadPFJet103_88_75_15_PFBTagDeepJet_1p3_VBF2,287,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",54677,0.5249007809499424
HLT_VBF_DiPFJet90_40_Mjj600_Detajj2p5_Mu3_TrkIsoVVL,278,21.0,21.0,ParkingVBF[0-7],54677,0.5084404777145783
HLT_QuadPFJet105_88_76_15_PFBTagDeepJet_1p3_VBF2,274,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",54677,0.5011247873877499
HLT_AK8PFJet250_SoftDropMass40_PNetBB0p10,271,21.0,21.0,"JetMET[0,1]",54677,0.49563801964262855
HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass95,266,27.2,27.2,"EGamma[0,1]",54677,0.48649340673409297
HLT_AK8PFJet275_SoftDropMass40_PNetBB0p06,254,21.0,21.0,"JetMET[0,1]",54677,0.46454633575360754
HLT_QuadPFJet111_90_80_15_PFBTagDeepJet_1p3_VBF2,237,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",54677,0.4334546518645866
HLT_QuadPFJet103_88_75_15_DoublePFBTagDeepJet_1p3_7p7_VBF1,235,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",54677,0.4297968067011723
HLT_VBF_DiPFJet95_45_Mjj600_Detajj2p5_Mu3_TrkIsoVVL,233,9.5,9.5,ParkingVBF[0-7],54677,0.4261389615377581
HLT_Diphoton30_18_R9IdL_AND_HE_AND_IsoCaloId_Mass55,232,27.2,27.2,"EGamma[0,1]",54677,0.424310038956051
HLT_PFHT280_QuadPFJet30_PNet2BTagMean0p55,230,21.0,21.0,ParkingHH,54677,0.42065219379263674
HLT_QuadPFJet105_88_76_15_DoublePFBTagDeepJet_1p3_7p7_VBF1,225,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",54677,0.41150758088410117
HLT_AK8PFJet275_SoftDropMass40_PNetBB0p10,220,21.0,21.0,"JetMET[0,1]",54677,0.4023629679755656
