path (click to see more detail),act. lumi (fb-1),eff. lumi (fb-1),counts,first run,last run,dataset(s)
HLT_BTagMu_AK8Jet300_Mu5_v,20.2,10.1,,391658,395239,BTagMu
HLT_BTagMu_AK4DiJet20_Mu5_v,20.2,0.0055,,391658,395239,BTagMu
HLT_BTagMu_AK4DiJet40_Mu5_v,20.2,0.036,,391658,395239,BTagMu
HLT_BTagMu_AK4DiJet70_Mu5_v,20.2,0.22,,391658,395239,BTagMu
HLT_BTagMu_AK4DiJet110_Mu5_v,20.2,0.78,,391658,395239,BTagMu
HLT_BTagMu_AK4DiJet170_Mu5_v,20.2,3.4,,391658,395239,BTagMu
HLT_BTagMu_AK4Jet300_Mu5_v,20.2,20.2,,391658,395239,BTagMu
HLT_BTagMu_AK8DiJet170_Mu5_v,20.2,1.7,,391658,395239,BTagMu
HLT_BTagMu_AK8Jet170_DoubleMu5_v,20.2,20.2,,391658,395239,BTagMu
HLT_IsoTrackHE_v,0.26,0.086,,391658,392112,Commissioning
HLT_IsoTrackHB_v,0.26,0.043,,391658,392112,Commissioning
HLT_L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142_v,20.2,0.22,,391658,395239,Commissioning
HLT_PFJet40_GPUvsCPU_v,20.2,20.2,,391658,395239,Commissioning
HLT_L1SingleMuCosmics_v,0,0,,391658,395239,Cosmics
HLT_DiSC30_18_EIso_AND_HE_Mass70_v,20.2,0.079,,391658,395239,EGamma[0-3]
HLT_DoublePhoton85_v,20.2,20.2,,391658,395239,EGamma[0-3]
HLT_Ele115_CaloIdVT_GsfTrkIdT_v,20.2,20.2,,391658,395239,EGamma[0-3]
HLT_Photon300_NoHE_v,20.2,20.2,,391658,395239,EGamma[0-3]
HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30_v,20.2,0.01,,391658,395239,EGamma[0-3]
HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30_v,20.2,0.01,,391658,395239,EGamma[0-3]
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v,20.2,20.2,,391658,395239,EGamma[0-3]
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_v,20.2,20.2,,391658,395239,EGamma[0-3]
